iter	Passed	Remaining
0	85	85019
1	123	61621
2	162	54074
3	213	53111
4	256	51119
5	301	49951
6	350	49751
7	391	48505
8	439	48438
9	476	47155
10	498	44813
11	531	43794
12	566	43012
13	596	42016
14	630	41409
15	669	41186
16	693	40092
17	735	40122
18	764	39478
19	795	38971
20	829	38652
21	865	38471
22	901	38295
23	939	38191
24	978	38171
25	1007	37759
26	1053	37949
27	1083	37614
28	1114	37332
29	1156	37382
30	1188	37151
31	1219	36895
32	1247	36569
33	1273	36181
34	1313	36204
35	1338	35849
36	1380	35929
37	1410	35697
38	1439	35478
39	1473	35360
40	1503	35170
41	1534	34997
42	1577	35097
43	1616	35124
44	1644	34893
45	1668	34613
46	1702	34519
47	1731	34334
48	1761	34193
49	1817	34534
50	1875	34897
51	1905	34729
52	1933	34551
53	1967	34474
54	1998	34344
55	2029	34208
56	2059	34078
57	2085	33865
58	2116	33762
59	2141	33543
60	2178	33529
61	2206	33383
62	2373	35300
63	2410	35250
64	2442	35127
65	2472	34984
66	2497	34777
67	2546	34898
68	2581	34828
69	2616	34755
70	2648	34660
71	2684	34604
72	2718	34515
73	2753	34453
74	2792	34436
75	2819	34279
76	2864	34339
77	2896	34242
78	2934	34212
79	2964	34090
80	2999	34031
81	3034	33973
82	3063	33847
83	3094	33740
84	3121	33604
85	3143	33404
86	3182	33398
87	3213	33303
88	3234	33103
89	3269	33056
90	3291	32874
91	3322	32792
92	3357	32743
93	3384	32624
94	3419	32577
95	3455	32535
96	3479	32390
97	3512	32325
98	3535	32173
99	3585	32270
100	3612	32153
101	3633	31990
102	3670	31965
103	3703	31910
104	3727	31776
105	3759	31707
106	3784	31586
107	3831	31645
108	3855	31512
109	3884	31429
110	3915	31360
111	3942	31258
112	3967	31141
113	4004	31118
114	4035	31057
115	4061	30950
116	4113	31045
117	4143	30972
118	4175	30912
119	4203	30827
120	4228	30717
121	4270	30730
122	4294	30616
123	4329	30587
124	4365	30559
125	4395	30488
126	4426	30429
127	4451	30322
128	4475	30215
129	4515	30219
130	4543	30137
131	4584	30145
132	4614	30082
133	4642	30001
134	4677	29968
135	4707	29907
136	4741	29867
137	4770	29797
138	4792	29683
139	4833	29693
140	4862	29622
141	4891	29555
142	4918	29479
143	4940	29366
144	4983	29383
145	5013	29324
146	5040	29248
147	5071	29196
148	5097	29116
149	5122	29029
150	5161	29018
151	5189	28949
152	5216	28878
153	5246	28819
154	5269	28726
155	5311	28738
156	5343	28691
157	5370	28619
158	5403	28579
159	5431	28512
160	5452	28412
161	5487	28387
162	5515	28320
163	5539	28238
164	5567	28174
165	5606	28168
166	5634	28106
167	5665	28055
168	5694	27999
169	5721	27934
170	5746	27859
171	5775	27802
172	5814	27795
173	5849	27769
174	5878	27713
175	5911	27675
176	5936	27602
177	5963	27537
178	5993	27488
179	6030	27472
180	6062	27432
181	6094	27390
182	6119	27319
183	6149	27272
184	6184	27245
185	6216	27206
186	6244	27150
187	6272	27089
188	6305	27055
189	6326	26971
190	6364	26955
